,LOCATION,TIME,SP_DYN_TFRT_IN,SP_DYN_LE00_IN,SP_DYN_IMRT_IN,SP_POP_GROW,SH_DYN_AIDS_ZS,SP_RUR_TOTL_ZS,NY_GDP_MKTP_CN,NY_GDP_MKTP_CD,NY_GDP_DEFL_ZS,NY_GDP_MKTP_KD_ZG,NY_GDP_PCAP_CD,NY_GDP_PCAP_PP_CD,NY_GDP_MKTP_PP_CD,XTGOV_IMF,NY_GNP_PCAP_CD,NY_GNP_PCAP_PP_CD,SI_POV_DDAY,PA_NUS_PPP,DT_TDS_DECT_GN_ZS,200101,200151,200345,200343,200144,NY_GNP_PCAP_CN,NY_GDP_MKTP_KD,PA_NUS_PPPC_RF,PA_NUS_FCRF,NY_GDP_MKTP_KN,PA_NUS_ATLS,PA_NUS_PRVT_PP,NY_GNP_MKTP_CN,NY_GDP_PCAP_PP_KD,NY_GDP_MKTP_PP_KD,NY_GDP_PCAP_CN,poverty
52,AUT,1974,1.91,71.0122,21.5,0.17021,NA,34.669000000000004,47801145100.0,35189299985.2768,35.5868,3.94214,4630.75721,NA,NA,NA,4650.0,NA,NA,NA,NA,7626.29,1115.322,3648.91,1809.07,1052.988,6322.11304,177900244807.952,NA,1.3584399999999999,134322681800.0,1.3584,NA,48041977200.0,NA,NA,6290.42059,False
53,AUT,1975,1.83,71.11463,19.8,-0.26532,NA,34.659,50702938000.0,40059206763.056,37.88492,-0.36374,5285.62072,NA,NA,NA,5540.0,NA,NA,NA,NA,7637.689,1124.9389999999999,3654.88,1779.8210000000001,1078.049,6718.9821,177253158036.87698,NA,1.2657200000000002,133834102200.0,1.2657,NA,50922513600.0,NA,NA,6690.01015,False
54,AUT,1976,1.69,71.56585,18.1,-0.17667,NA,34.649,56006920800.0,42959976068.1138,40.01591,4.57845,5678.38664,NA,NA,NA,5980.0,NA,NA,NA,NA,7640.749,1141.323,3652.992,1740.4360000000001,1105.998,7424.08533,185368597102.92398,NA,1.3037299999999998,139961623500.0,1.3037,NA,56167103200.0,NA,NA,7402.912659999999,False
55,AUT,1977,1.63,71.91463,16.6,0.03839,NA,34.639,61911611400.0,51545759220.7143,42.09622,5.07998,6810.62773,NA,NA,NA,6660.0,NA,NA,NA,NA,7636.576,1154.749,3646.16,1698.62,1137.047,8196.87898,194785286243.434,NA,1.20106,147071647100.0,1.2011,NA,62037504800.0,NA,NA,8180.244959999999,False
56,AUT,1978,1.6,72.0122,15.5,-0.08096,NA,34.629,65483748600.0,62052258694.2102,44.61906,-0.21065,8205.46893,NA,NA,NA,7540.0,NA,NA,NA,NA,7627.759,1163.492,3640.925,1654.236,1169.106,8671.725540000001,194374964316.0,NA,1.0553299999999999,146761835600.0,1.0553,NA,65578233400.0,NA,NA,8659.23136,False
57,AUT,1979,1.6,72.3122,14.6,-0.17046,NA,34.619,71830083700.0,73937296654.6577,46.45485,5.3567,9793.765309999999,NA,NA,NA,9620.0,NA,NA,NA,NA,7617.884,1164.496,3646.3459999999995,1607.954,1199.088,9531.94621,204787047701.607,NA,0.97145,154623426600.0,0.9715,NA,71960713000.0,NA,NA,9514.643,False
58,AUT,1980,1.65,72.46341,13.9,NA,NA,34.609,77151789500.0,82058912465.4329,49.04732,1.7314900000000002,10869.54642,NA,NA,NA,11460.0,NA,NA,NA,NA,7609.7519999999995,1156.333,3667.134,1561.609,1224.6760000000002,10230.54308,208332905591.186,NA,0.94024,157300708700.0,0.9402,NA,77234799500.0,NA,NA,10219.54755,False
59,AUT,1981,1.67,72.8122,13.2,0.25501999999999997,NA,34.635999999999996,82215015600.0,71034228097.4598,52.34167,-0.14429,9385.249020000001,NA,NA,NA,11180.0,NA,NA,NA,NA,7604.513000000001,1145.899,3694.309,1519.089,1245.2160000000001,10850.150529999999,208032292628.472,NA,1.15745,157073732400.0,1.1574,NA,82121642800.0,NA,NA,10862.48721,False
60,AUT,1982,1.66,72.96098,12.6,0.07172,NA,34.9,88359973700.0,71275287327.5793,55.14471999999999,2.01125,9410.34722,NA,NA,NA,10380.0,NA,NA,NA,NA,7602.181,1126.085,3736.3559999999998,1479.125,1260.615,11669.8046,212216351195.68,NA,1.23974,160232884700.0,1.2397,NA,88388733800.0,NA,NA,11666.00745,False
61,AUT,1983,1.56,73.0122,11.9,-0.1616,NA,35.164,94146775100.0,72121016623.2572,57.05978,2.97309,9537.40743,NA,NA,NA,9600.0,NA,NA,NA,NA,7603.102,1102.826,3787.884,1442.4460000000001,1269.9460000000001,12481.342059999999,218525730110.73,NA,1.30545,164996749400.0,1.3054,NA,94382785300.0,NA,NA,12450.13166,False
